"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000028088"	562.728409390384	-1.17329185182073	0.326034276013381	-3.59867639122879	0.000319840882757198	0.0194232485446539
"ENSMUSG00000026014"	712.341659430187	0.690668274274132	0.192853801156209	3.58130495812576	0.000341882314741559	0.0206312000625488
"ENSMUSG00000005514"	1224.32315886013	-0.588734240503088	0.16462777630381	-3.5761537555887	0.000348686618146094	0.0209103006319486
"ENSMUSG00000028037"	20.3450991279884	-2.34976408652792	0.657718840384371	-3.57259659029186	0.000353459045999251	NA
"ENSMUSG00000022462"	1583.99182954551	0.441732171628211	0.123796686984722	3.56820672981925	0.00035943286723557	0.0214208593858714
"ENSMUSG00000045294"	1206.35031130867	-0.903447949788753	0.253355073883438	-3.56593588571431	0.000362560008342589	0.0214738474076984
"ENSMUSG00000029247"	491.34549715403	0.767430760936439	0.215912197163595	3.55436501975367	0.000378892946477756	0.0220399924269595
"ENSMUSG00000025091"	34.0796359531997	-1.77074892739137	0.498247380032093	-3.55395532090367	0.000379483676517277	0.0220399924269595
"ENSMUSG00000034918"	4921.71827895818	-0.703537823676758	0.198019066433168	-3.55287920678185	0.000381039389389228	0.0220399924269595
"ENSMUSG00000045094"	34.4054309537617	-1.98492530067722	0.559025855726712	-3.55068603776277	0.000384228473920488	0.0220399924269595
"ENSMUSG00000090946"	457.192799116085	-0.78829197548839	0.222034067301809	-3.55031993543978	0.0003847632462626	0.0220399924269595
"ENSMUSG00000031938"	1613.77061036796	-0.677273578245895	0.190805868024345	-3.54954271196462	0.00038590085750174	0.0220399924269595
"ENSMUSG00000035429"	845.401329716696	-1.02936811917116	0.290316897959388	-3.54567070124577	0.000391615252496524	0.0222340138917405
"ENSMUSG00000022822"	1188.17693590086	0.599656674192964	0.169292038039733	3.54214339396295	0.000396889658717213	0.0224009192670097
"ENSMUSG00000033880"	2144.710863451	-0.455031633298987	0.128599449639368	-3.53836376885774	0.000402614975649273	0.0225911736336537
"ENSMUSG00000054057"	10.3672602141511	-3.76962493554489	1.0678957430644	-3.529955953123	0.000415628856254084	NA
"ENSMUSG00000028293"	490.217163534101	0.65061912767829	0.184713164586522	3.52232137397836	0.000427785217256286	0.0238639486021748
"ENSMUSG00000028337"	2401.02487870737	-0.52608406578605	0.149486201806678	-3.51928177602909	0.000432716857805374	0.0239995274603616
"ENSMUSG00000110573"	52.0617138806321	-1.29334484711123	0.36803802625908	-3.5141609149941	0.000441145489385422	0.0241888095513822
"ENSMUSG00000022900"	1218.49342733194	-0.459297787853222	0.130699718970646	-3.51414518310003	0.000441171617664605	0.0241888095513822
"ENSMUSG00000029722"	454.584113349752	0.956443422543281	0.272527350712317	3.50953186916242	0.000448896259957567	0.0244724978084821
"ENSMUSG00000079037"	243.059258640913	-0.719551463259965	0.205202731554409	-3.5065394003743	0.000453974221276639	0.0246095065149681
"ENSMUSG00000019943"	1902.89383419651	-0.890379424405708	0.254145562810807	-3.50342305629208	0.000459319332395237	0.0247593763726534
"ENSMUSG00000057666"	8063.63694706453	-0.458236945805354	0.131342096448646	-3.48888100765561	0.000485047017579983	0.0260001459982119
"ENSMUSG00000047793"	37.6774301123374	2.07744421011449	0.596791114600811	3.48102402882468	0.000499500678384729	0.0266261611616749
"ENSMUSG00000093867"	162.400856050131	-1.1632659781609	0.334517419558913	-3.47744514977652	0.00050621661180493	0.0267355685243184
"ENSMUSG00000026341"	2738.5003868029	-0.470779767492262	0.13539966782047	-3.47696397687238	0.000507125948038139	0.0267355685243184
"ENSMUSG00000062410"	542.965376938034	-0.786139359410805	0.226611695707694	-3.46910320297345	0.000522198816099704	0.0272343943946576
"ENSMUSG00000054321"	142.172112173471	0.996860474287845	0.287356742201474	3.46906937575496	0.00052226457202887	0.0272343943946576
"ENSMUSG00000020422"	1908.17626815073	0.715530025116065	0.206935106865853	3.45775077005136	0.000544705037979651	0.0281278332210537
"ENSMUSG00000029153"	591.304162205871	-0.593084744760716	0.171536907453027	-3.45747602406277	0.000545260758636371	0.0281278332210537
"ENSMUSG00000034422"	313.329056857204	-0.814895386156746	0.235806493141257	-3.45578009876341	0.000548702766395773	0.0281540269709489
"ENSMUSG00000034765"	142.615954245381	-1.30687310709435	0.378960753129051	-3.44857111535587	0.000563561046604673	0.0286261536825374
"ENSMUSG00000024222"	318.6174208936	-0.77123784818616	0.223649459798747	-3.44842258452207	0.000563871083480934	0.0286261536825374
"ENSMUSG00000032369"	625.413334689545	-0.86525831203691	0.251791269894137	-3.43641108923554	0.000589475796672091	0.0297685277319406
"ENSMUSG00000062488"	14.9014571314528	-2.62384683564157	0.765300436611238	-3.42851867073277	0.000606884790317173	NA
"ENSMUSG00000079507"	83.9011516787655	-2.08867346814834	0.609502322521286	-3.42685071241119	0.000610624673276007	0.0306750981156193
"ENSMUSG00000023175"	2710.61156160106	-0.679268778089518	0.198526051324512	-3.42155990892693	0.000622630061319105	0.0311152887414417
"ENSMUSG00000034371"	425.829237567102	-0.958872185792562	0.281004749552126	-3.41229885729989	0.000644174473342401	0.0320251506306753
"ENSMUSG00000039878"	159.8672398338	-1.3422703504868	0.393929289139601	-3.40738906065734	0.000655875647732396	0.0324387981442904
"ENSMUSG00000073420"	453.961409256999	-1.06759483047115	0.31363201121709	-3.40397278430925	0.000664133701829129	0.0326787839438487
